110 Seaton Place Northwest, Washington AR 20001

25 Wendys Way, Harwich MA 02645

4924 West 65th Avenue, Arvada CO 80003

205 Harrison Avenue, Louisville KY 40243

6739 Taft Court, Arvada CO 80004

2622 Martin Luther King Junior Boulevard, Fayetteville AR 72704

10202 North 51st Drive, Glendale AZ 85302

523 10th Street, Greeley CO 80631

15254 North 52nd Avenue, Glendale AZ 85306

3500 Blanchard Drive Southwest, Washington AR 20032

199 Spencer Street, Manchester CT 06040

7300 West 74th Place, Arvada CO 80003

158 Euclid Avenue, San Leandro CA 94577

2042 High Street, Oakland CA 94601

10406 Sunlight Lane, Louisville KY 40272

1520 H Street Northwest, Washington AR 20006

20097 Butterfield Drive, Castro Valley CA 94546

904 Walthour Road, Savannah GA 31410

3415 Brookdale Drive, Santa Clara CA 95051

82 Fairfield Street, Manchester CT 06040

7703 Aragorn Court, Hanover MD 21076

87 Horseshoe Drive, West Windsor VT 05037

70 East Terrace, South Burlington VT 05403

218 Turtle Cove, Panama City Beach FL 32413

882 Plantation Way, Montgomery AL 36117

514 East 38th Street, Savannah GA 31401

268 Glengary Garth, Glen Burnie MD 21061

1376 Oakland Avenue, Fayetteville AR 72703

4600 Ritchie Highway, Baltimore MD 21225

13501 Vasili Drive, Anchorage AK 99577

95 Woods Hill Road, undefined VT 05488

6902 West Sherri Jean Lane, Peoria AZ 85382

8522 Ingalls Circle, Arvada CO 80003

22207 Quinterno Court, Cupertino CA 95014

3610 Story Road, San Jose CA 95127

713 East 32nd Street, Savannah GA 31401

5222 Nick Road, Shady Side MD 20764

231 South Kimbrel Avenue, Panama City FL 32404

11 Pine Point Road, Duxbury MA 02332

135 Pond Road, Shelburne VT 05482

2036 Hermitage Hills Drive, Gambrills MD 21054

3905 Lyceum Avenue, Los Angeles CA 90066

23 Columbia Drive, Manchester CT 06042

7717 Everett Street, Arvada CO 80005

2868 Peak Road, Wheelock VT 05851

46 Lilac Street, Manchester CT 06040

7105 Tanager Avenue, Glen Burnie MD 21060

117 South Capitol Parkway, Montgomery AL 36107

6820 West 84th Circle, Arvada CO 80003

145 Grau Drive, Fremont CA 94536

16772 West 70th Avenue, Arvada CO 80007

4400 Vaneto Drive, Louisville KY 40216

5606 Olde Wadsworth Boulevard, Arvada CO 80002

3537 West Chevaux Drive, Fayetteville AR 72704

8101 Northwind Avenue, Anchorage AK 99504

1711 Lore Road, Anchorage AK 99507

1915 Southeast 29th Street, Oklahoma City OK 73129

7800 River Mist Avenue, Bakersfield CA 93313

3313 East Tecumseh Road, Norman OK 73071

150 Carter Street, Manchester CT 06040

396 Berkshire Drive, Riva MD 21140

5434 Cedar Ash Crossing, Nashville TN 37013

5928 West Mauna Loa Lane, Glendale AZ 85306

5104 West Tierra Buena Lane, Glendale AZ 85306

